"","season","region","beta","eta","mu","sigma1","sigma2","kappa"
"419",2010,"North Carolina",-5.32771686949995,0.9363584250178,18.5174654139876,1.38624546841406,1.40573430792524,3130.98735378147
"420",2011,"North Carolina",-5.61224976328376,0.217762835587754,27.0507913120646,2.61079681686606,2.62392818276038,1163.29053041707
"421",2012,"North Carolina",-7.30305496422169,1.39165851637719,21.5530538902204,2.78461841548148,2.7139574769583,169.191076448911
"422",2013,"North Carolina",-4.65437022804074,0.342778203984572,21.2624142315381,0.433874801585624,1.75514698962101,813.743072272801
"423",2014,"North Carolina",-4.90901032516628,0.749706319995252,21.1109318340712,1.0120425796558,2.11597814718789,898.647527457627
"424",2015,"North Carolina",-4.94304575435397,0.435953433628241,33.7980766688132,2.5632041338942,1.96111765986045,1074.60741361862
"425",2016,"North Carolina",-4.83735677865856,0.701751748130384,30.8718323166622,2.33789382747058,1.52629312319602,604.674291541648
"426",2017,"North Carolina",-5.21520822342256,0.956093171373707,26.7025134927687,2.12576187675218,1.83357178950809,420.257832520229
"427",2018,"North Carolina",-5.58192161503763,0.941514046163237,28.8335893714083,2.48191862936109,1.99163800637217,924.802346153418
"428",2019,"North Carolina",-5.05629877535263,0.788435459806182,28.316616243044,2.34010398920547,1.92991051802868,1390.49634509717
"429",2020,"North Carolina",-5.82584541541268,0.102817065036914,10.3971971359041,2.53971291100108,4.26587511718026,1521.90039727589
"430",2021,"North Carolina",-4.69797753770329,0.0310970877681487,-55.9182449597235,20.4286662250667,4.27358464447977,601.595109677987
"431",2022,"North Carolina",-4.24364124541838,0.498024265734239,13.1546990702488,0.795194426426178,2.02605194194773,1919.33539858948
"432",2010,"North Dakota",-6.68177802950805,1.21004571586905,22.432825517184,1.69160755835107,1.59179183157878,187.414614401636
"433",2011,"North Dakota",-8.5144771405456,1.42429922912939,35.868353342559,3.64129296080293,1.66974451024254,626.135807238748
"434",2012,"North Dakota",-6.69357551240398,1.35035070229613,24.4468414178632,2.21568385624902,3.45178919693697,249.87176447461
"435",2013,"North Dakota",-8.12331620587245,1.50505904330632,22.4028463969194,1.88015427753416,2.44122539983499,430.50525238381
"436",2014,"North Dakota",-7.64007147448428,1.5286414329289,23.6215750996674,2.07441639227018,2.48682487285706,242.545010667902
"437",2015,"North Dakota",-7.7167987921554,1.33075192672683,35.8165014496195,2.65672628413777,1.88349029057383,211.268848033579
"438",2016,"North Dakota",-6.94659721708473,1.3298644907624,29.0694290236589,2.23870116083362,2.15091353412039,110.139892542066
"439",2017,"North Dakota",-6.71444113484577,1.20960810275797,22.7909822756986,2.13981817637463,2.71411776377897,174.805793875769
"440",2018,"North Dakota",-8.28275587215098,1.58385779664136,28.5655476789908,2.85737098499607,3.0070937395055,261.346841109722
"441",2019,"North Dakota",-4.98924094152582,0.837699030830993,32.3730773560326,2.72958948572895,1.08413027930259,351.774164441484
"442",2020,"North Dakota",-4.56953035956577,-0.113465746597982,9.16474309931523,-0.379894218281709,2.06410944131095,1481.90507416409
