"model","season","last_week","rep","week_ahead","wis","crps","logs","logs2","lmae","mae","pit","cover50","cover95"
"base_full",2019,38,9,2,0.199948232615308,0.224943565612949,0.438604288940136,0.437832800852189,0.374063536135307,7.26721381208159,0.1642,FALSE,TRUE
"base_full",2019,38,9,3,0.217379181282979,0.244177973103399,0.534022072234249,0.533589475583129,0.409988587396526,7.84167082485161,0.1788,FALSE,TRUE
"base_full",2021,14,9,0,0.029456594613684,0.0334909375881084,-1.03202200119571,-3.65449199848317,0.0469261765288089,0.501461413548574,0.97092,FALSE,TRUE
"base_full",2021,14,9,1,0.0548426069434338,0.0615187907786615,0.190839428686405,-2.1748565635004,0.0809904341861905,0.880635244671598,0.98962,FALSE,FALSE
"base_full",2021,14,9,2,0.079490713482036,0.0874786109203989,1.13237414382141,-1.23044786220655,0.111575450275356,1.23244260630388,0.99452,FALSE,FALSE
"base_full",2021,14,9,3,0.0991704747053085,0.108445628462292,1.55837524990572,-0.566801989809006,0.136727345921347,1.52891599426638,0.99678,FALSE,FALSE
"base_full",2021,20,9,0,0.0708566602890553,0.0760167197096344,2.73151429682969,-1.84415085746401,0.0918864849337688,1.22580566481737,0.99954,FALSE,FALSE
"base_full",2021,20,9,1,0.29923057494835,0.306512596433708,352.516827571956,34.9059963092172,0.328641515782651,4.95598753362793,1,FALSE,FALSE
"base_full",2021,20,9,2,0.531724740072644,0.540629119117716,Inf,42.4362552096041,0.567764176344289,9.7365037506242,1,FALSE,FALSE
"base_full",2021,20,9,3,0.335138402424854,0.345559302199283,146.593893275977,11.844330910557,0.377240261719232,5.83822805706755,1,FALSE,FALSE
"base_full",2021,26,9,0,0.102357339120007,0.116644421389239,0.0367176401179067,-0.616596727909363,0.168674458839237,1.95714737700953,0.045,FALSE,TRUE
"base_full",2021,26,9,1,0.16989938788339,0.193216967140907,0.806983206715995,0.465131941721223,0.269272145324024,2.97631536842214,0.02728,FALSE,TRUE
"base_full",2021,26,9,2,0.20090949372627,0.228347050528456,0.921506285295702,0.748147834511132,0.321003140275087,3.46080231632788,0.03156,FALSE,TRUE
"base_full",2021,26,9,3,0.186251095697301,0.211978169132046,0.531378935595617,0.472586921001187,0.31432636636685,3.39773471634604,0.05682,FALSE,TRUE
"base_full",2021,32,9,0,0.02388162031828,0.0262194435543883,-1.3553010413408,-1.9490912961768,0.0301556966357164,0.28514458885665,0.62142,TRUE,TRUE
"base_full",2021,32,9,1,0.0387831315803499,0.0427869351300658,-0.965452031337346,-1.23175921259648,0.0612768923787432,0.5890211244815,0.67074,TRUE,TRUE
"base_full",2021,32,9,2,0.0468903353223802,0.051833357140105,-0.770965633666254,-0.88593192673075,0.0737758381719198,0.71433065132652,0.66982,TRUE,TRUE
"base_full",2021,32,9,3,0.0605110519458929,0.0673199633928758,-0.562124882274065,-0.611317453447978,0.10463131277915,1.02719811178548,0.70466,TRUE,TRUE
"base_full",2021,38,9,0,0.0196671369389982,0.0215785428640091,-1.48661074850034,-2.15356654118637,0.0123529058488203,0.137430468570917,0.5554,TRUE,TRUE
"base_full",2021,38,9,1,0.0281154046821624,0.0307465502368158,-1.13572100343407,-1.48518518282354,0.0203672390900658,0.227428715170268,0.56468,TRUE,TRUE
"base_full",2021,38,9,2,0.0437481852433066,0.0482900746997397,-0.828387464981112,-1.01548374180062,0.0696225363185592,0.796058070710689,0.6722,TRUE,TRUE
"base_full",2021,38,9,3,0.0634205280747992,0.0707690319718811,-0.587187764358992,-0.674299790226904,0.11642789220612,1.36352018940171,0.7412,TRUE,TRUE
"base_full",2022,14,9,0,0.0388384174526287,0.0427446753388159,-0.835229540289325,-0.989208331321539,0.0438492477500194,4.59964747876502,0.60604,TRUE,TRUE
"base_full",2022,14,9,1,0.0547100308385305,0.0601197848767935,-0.508169112964665,-0.521734442510186,0.0628378779819734,6.67027297849366,0.6086,TRUE,TRUE
"base_full",2022,14,9,2,0.412157042757968,0.464021212388707,1.97114762314256,1.95906702120831,0.621736636627022,88.3935251709387,0.98548,FALSE,FALSE
"base_full",2022,14,9,3,0.352104681027751,0.400653840497996,1.33816827765649,1.33144907549674,0.574532227109162,79.7983510102496,0.9626,FALSE,TRUE
"base_full",2022,20,9,0,0.0621299074033494,0.0690586976788217,-0.58900497985845,-0.628792893245859,0.109666684022944,14.5706037528048,0.2823,TRUE,TRUE
"base_full",2022,20,9,1,0.188018151586783,0.213083644290656,0.393136139475902,0.38819549285288,0.336917957337522,40.0486277166822,0.10676,FALSE,TRUE
"base_full",2022,20,9,2,0.563786666285178,0.626022793098589,2.79550857673764,2.77464254714021,0.809959945103631,77.8153329513577,0.00698,FALSE,FALSE
"base_full",2022,20,9,3,0.872670421865134,0.942987622511958,4.52379510624522,4.52561472695438,1.15790368129549,96.2966451645976,0.00092,FALSE,FALSE
"base_full",2022,26,9,0,0.0450765687207819,0.0492207684595655,-0.64312784610629,-0.653741100414627,0.00475816888444491,0.184528866732158,0.50936,TRUE,TRUE
"base_full",2022,26,9,1,0.0640972289049111,0.0699125775687668,-0.282369691771033,-0.279456394037237,0.0113729992047964,0.442414628622977,0.51572,TRUE,TRUE
"base_full",2022,26,9,2,0.0785304981715543,0.0857969027237139,-0.0846741618032853,-0.084857426021345,0.0110100470140977,0.423291100197183,0.48742,TRUE,TRUE
"base_full",2022,26,9,3,0.0911393119020465,0.099422916452616,0.0748043748313098,0.0747052089940635,0.0260859149256039,0.993292037065238,0.47612,TRUE,TRUE
"base_full",2022,32,9,0,0.0411435116544696,0.0448364545148461,-0.734305584734795,-0.777069637356526,0.0104532509371351,0.371246731990695,0.52166,TRUE,TRUE
"base_full",2022,32,9,1,0.0575002799757266,0.0628889927602252,-0.386223626400044,-0.379512823687665,0.00358150327448747,0.126692149675335,0.50526,TRUE,TRUE
