"pred_ili[14,13]","pred_ili[15,13]","pred_ili[16,13]","pred_ili[17,13]","pred_ili[18,13]","pred_ili[19,13]"
0.00981056,0.0142029,0.0130223,0.011359,0.0105425,0.012226
0.00896949,0.0106246,0.0118895,0.00971644,0.00889934,0.0110837
0.0117984,0.0113641,0.0129114,0.0109835,0.00959026,0.0116674
0.0116818,0.0117844,0.0141325,0.0132722,0.0173619,0.0704681
0.010404,0.00978246,0.016235,0.00982413,0.0102423,0.0128254
0.0106151,0.0133104,0.015953,0.0136537,0.01881,0.0162387
0.00926077,0.0169244,0.0192883,0.0144655,0.016607,0.0157817
0.0103382,0.0153445,0.0168819,0.0126157,0.00988035,0.0108542
0.00929951,0.0130029,0.0134758,0.00947537,0.0120927,0.0110808
0.0117625,0.00997325,0.012417,0.00853431,0.00936085,0.0113485
0.0100498,0.0133558,0.0144138,0.0102144,0.00935657,0.0109216
0.0101943,0.0144668,0.0171959,0.0145166,0.013685,0.0191683
0.00893083,0.00871677,0.0094508,0.0121462,0.0131637,0.0104192
0.00867036,0.0105612,0.0107451,0.0105749,0.0151101,0.0244684
0.0111022,0.0140963,0.0146056,0.012083,0.0160017,0.0180457
0.0106851,0.0135229,0.0165747,0.0118033,0.0128772,0.0133645
0.0102413,0.0132452,0.0135194,0.00952442,0.0131562,0.0125307
0.00965327,0.0114441,0.0144395,0.00996814,0.0114726,0.0132734
0.0109051,0.0135063,0.0182862,0.0149136,0.0176249,0.0165196
0.0103219,0.01377,0.0162757,0.0130497,0.0168614,0.0247114
0.00994604,0.0134166,0.0136944,0.00868157,0.0076768,0.00818366
0.00883801,0.0122289,0.015025,0.00980399,0.00987266,0.00773088
0.0103842,0.0115802,0.0103877,0.00711234,0.00498424,0.00704807
0.00968713,0.0120148,0.0187037,0.0113323,0.0133928,0.0155674
0.0109514,0.0142906,0.0183967,0.010545,0.00837199,0.00986812
0.008789,0.011859,0.0168892,0.0128731,0.0139889,0.0175719
0.0128065,0.0132486,0.0187993,0.00943164,0.00902117,0.0126409
0.00979814,0.0120478,0.0140038,0.015177,0.0119134,0.0127046
0.00976682,0.0139314,0.0137209,0.00992746,0.0117806,0.0101271
0.00915467,0.0131376,0.0141212,0.0117133,0.0116488,0.0138622
0.00915516,0.0138847,0.0172036,0.0163782,0.0149054,0.0205011
0.0114705,0.0157821,0.0173637,0.0130625,0.0157204,0.0198622
0.00956889,0.0123095,0.0153507,0.0111794,0.0132325,0.011708
0.0155398,0.00898265,0.0209665,0.0139059,0.0128012,0.0134065
0.00810232,0.0131128,0.0146088,0.0125539,0.0109768,0.0120268
0.0110423,0.0129189,0.0159449,0.0102166,0.0125416,0.0114802
0.0104282,0.0114785,0.0148161,0.0136609,0.0158705,0.0332547
0.0105962,0.0130355,0.0160257,0.00621332,0.00890856,0.00769686
0.0115687,0.0143498,0.0162249,0.0140206,0.0130901,0.012237
0.00974004,0.0115987,0.0106826,0.00927332,0.0097691,0.010362
0.00718348,0.0119172,0.0140274,0.0133023,0.0127222,0.0141447
0.0088383,0.0117135,0.0145192,0.0105718,0.0120495,0.0144372
0.00715634,0.0112561,0.0121066,0.00850986,0.0110896,0.0099081
0.0148392,0.0151652,0.0195004,0.0120777,0.0109092,0.0107236
0.00859978,0.011464,0.011399,0.0105043,0.0136752,0.0119354
0.00936976,0.0134779,0.011599,0.0108627,0.0114988,0.0113202
0.00878253,0.0144064,0.0142426,0.0139256,0.0137311,0.0161474
0.0110515,0.0112381,0.0135707,0.00949091,0.0106138,0.0112998
0.0103873,0.0133045,0.0142582,0.0109746,0.0120456,0.0112279
0.0104205,0.012786,0.0160653,0.0111525,0.0156296,0.0132129
0.0115902,0.0146804,0.0167075,0.00909249,0.0122647,0.0121664
0.0119834,0.0174115,0.0210566,0.0119291,0.0098946,0.0108473
0.0151828,0.0122528,0.016501,0.00993102,0.0111509,0.0153484
0.0124889,0.0156154,0.0167665,0.0123271,0.0134284,0.0123333
0.00984421,0.0147596,0.0180415,0.0143911,0.0160832,0.0125211
0.00986646,0.0135603,0.0143488,0.0128756,0.0129554,0.0106549
0.00869028,0.0110669,0.0127886,0.0111478,0.0116469,0.0112265
0.0109383,0.0122248,0.0132279,0.0133702,0.0102657,0.01539
0.0121356,0.0108777,0.0138294,0.0110737,0.00938257,0.00997699
0.00909442,0.0103231,0.0122995,0.00956331,0.0103625,0.0104473
0.0112928,0.0111562,0.0129417,0.0150644,0.0131893,0.0138725
0.00956958,0.0126992,0.0168715,0.0109523,0.0108789,0.0111005
0.0107988,0.0137825,0.0130442,0.0115332,0.0104919,0.0125221
0.0135307,0.0165318,0.0182336,0.0142764,0.0142933,0.0152821
0.0113734,0.0112395,0.0130909,0.0109758,0.0101437,0.0119947
0.0101487,0.0131637,0.0143666,0.0130394,0.0121475,0.0160982
0.0110506,0.0103833,0.0137576,0.009376,0.00937288,0.0104724
0.0120199,0.014733,0.0152262,0.0129947,0.011632,0.0111952
0.00940036,0.0165073,0.014825,0.014035,0.0139535,0.0155968
0.011829,0.012814,0.0162569,0.00905398,0.0134457,0.0144639
0.0115331,0.0108956,0.0139124,0.0118108,0.0128681,0.0128466
0.00922676,0.013902,0.0142393,0.0114565,0.0104397,0.0115877
0.0103031,0.0115158,0.0137326,0.0112344,0.0123078,0.0117842
0.0113269,0.0137874,0.0133759,0.00982069,0.0129685,0.0126979
0.0104742,0.0126448,0.0145678,0.00978046,0.0102082,0.0113167
0.00997529,0.0118267,0.0141776,0.0113964,0.0113987,0.0130291
0.0111044,0.00994446,0.0160014,0.0137633,0.0140175,0.0128133
0.0111016,0.0129218,0.0133898,0.010213,0.0110008,0.0134587
0.0145109,0.0146466,0.0198236,0.0149213,0.0141904,0.0137885
0.0105439,0.0119706,0.0135487,0.0138703,0.0100659,0.0119818
0.00932153,0.0107394,0.0126829,0.012859,0.0121712,0.012718
0.00874573,0.00962844,0.0122624,0.0129838,0.0125528,0.0123128
0.0109277,0.0153835,0.0189979,0.0129486,0.0169164,0.017068
0.0106422,0.0169324,0.0198843,0.016699,0.0132137,0.0178261
0.0108039,0.0104977,0.014084,0.0105431,0.0100292,0.0103754
0.00857483,0.0117747,0.0144832,0.0110742,0.0116318,0.0120525
0.0117669,0.0127322,0.012598,0.0104046,0.0122829,0.0135934
0.00918448,0.0124895,0.0167053,0.0112965,0.0111551,0.0111242
0.0120985,0.0130725,0.0136086,0.0115544,0.0142691,0.0132663
0.011715,0.011503,0.0171152,0.0169934,0.0251554,0.0359976
0.0100544,0.0121336,0.0113442,0.0105405,0.0153995,0.0369894
0.0104339,0.014594,0.0156733,0.015298,0.0215935,0.0355877
0.0112016,0.0136405,0.0190706,0.0165812,0.0186444,0.0227011
0.0125751,0.0104493,0.0143806,0.0124041,0.00872246,0.0105111
0.0103406,0.0104636,0.013883,0.0117421,0.0112192,0.0155787
0.0118573,0.012157,0.0158642,0.0119262,0.0115427,0.0125273
0.0102348,0.0110256,0.0119354,0.0106707,0.0104522,0.0105013
0.010085,0.0124797,0.0137875,0.00725803,0.00875268,0.0106303
0.0122322,0.0121674,0.0137471,0.0134203,0.0133064,0.0119041
0.0101864,0.0120141,0.0145557,0.00947765,0.011817,0.0119219
0.00876863,0.0120597,0.0142418,0.0122727,0.0125071,0.0171176
0.00919314,0.0090001,0.0150528,0.00987559,0.00931695,0.00928119
0.0117851,0.0164767,0.0202689,0.0150966,0.0182368,0.0218018
0.0104272,0.012655,0.0120813,0.00807001,0.0101024,0.00962677
0.0113732,0.0135003,0.0136343,0.0102274,0.0132403,0.0125277
0.0109716,0.0121258,0.0127734,0.00977173,0.0108581,0.0141517
0.00978654,0.0158042,0.0128005,0.00668953,0.00708562,0.00813211
0.0125691,0.0146881,0.0140432,0.0149078,0.0123475,0.0103031
0.0106397,0.0153031,0.0196252,0.0131399,0.0124066,0.0160348
0.0102733,0.0126107,0.0140884,0.0113667,0.010814,0.0271915
0.011753,0.0108203,0.0131299,0.0128598,0.0128815,0.0119267
0.00932262,0.0120373,0.0123025,0.00905051,0.00815955,0.0100085
0.00855502,0.00959824,0.0119405,0.00838038,0.012412,0.00849435
0.0123241,0.0119294,0.0153544,0.0101693,0.01198,0.0130539
0.0100134,0.0135827,0.0172437,0.0110859,0.012297,0.0136625
0.0109277,0.0139737,0.0151771,0.0136067,0.0146641,0.0123968
0.0103331,0.0146364,0.0146038,0.00916677,0.00942981,0.00907862
0.0122906,0.0126404,0.0109811,0.0105289,0.0111963,0.0102291
0.0112697,0.011791,0.0149747,0.0134583,0.0159427,0.014266
0.0101372,0.0110264,0.0149224,0.0109476,0.0105178,0.0134071
0.00963984,0.0128837,0.015305,0.0145323,0.0122463,0.0128673
0.00972865,0.0125504,0.0139234,0.00964755,0.0108977,0.0109476
0.0105125,0.0115133,0.0147998,0.0126655,0.0114074,0.0105763
0.0105701,0.0141315,0.0208022,0.0159458,0.0209827,0.0377771
0.00930699,0.0110847,0.0127899,0.010432,0.0105829,0.0111861
0.010186,0.012574,0.0139844,0.011614,0.0156044,0.0206843
0.00893924,0.0139131,0.0169571,0.0148011,0.0137696,0.0120686
0.009948,0.0117651,0.0152134,0.0098447,0.0103721,0.010612
0.0144957,0.0115285,0.0170461,0.0113282,0.0120612,0.00901566
0.00924095,0.0130335,0.017544,0.0129919,0.00918725,0.00761209
0.0095164,0.0138562,0.0130364,0.00997262,0.0103774,0.0100449
0.00902055,0.0115004,0.0101371,0.00611259,0.00791376,0.00889167
0.00866222,0.00710274,0.0102678,0.00836434,0.00610846,0.00677527
0.0109127,0.0145481,0.0122509,0.00947609,0.00765329,0.00718641
0.00884276,0.0138606,0.0123027,0.0107033,0.00870238,0.00925986
0.0123208,0.0106219,0.0154389,0.0149677,0.0102849,0.00976058
0.00996425,0.0154564,0.0168039,0.0128395,0.0165691,0.0146419
0.00853989,0.0176965,0.0170265,0.0148205,0.0139379,0.0139714
0.00924907,0.0121251,0.0165028,0.011646,0.0103129,0.0171583
0.0116343,0.0131889,0.0130089,0.0121527,0.0117389,0.0102378
0.0110073,0.0191964,0.0128052,0.00885393,0.00989508,0.00951121
0.0110551,0.0122442,0.0108994,0.00744871,0.0074081,0.0096693
0.00998043,0.0127323,0.0143815,0.00939499,0.0105412,0.0085185
0.00848755,0.0105437,0.0160788,0.0187506,0.0213468,0.0262033
0.00957524,0.00959789,0.00768785,0.00728822,0.0101009,0.0113429
0.0116757,0.0156527,0.0182542,0.0136233,0.0196408,0.0191087
0.00975113,0.0121148,0.0118143,0.00877233,0.0106889,0.0118767
0.0103539,0.0132279,0.0153888,0.0133811,0.0127462,0.0158801
0.0124546,0.0119777,0.0119129,0.00933307,0.00901158,0.0102729
0.00963708,0.012452,0.0171739,0.0207224,0.0469191,0.108279
0.00671949,0.00958308,0.00789035,0.00845614,0.00583463,0.00823976
0.00844112,0.0108766,0.0116755,0.0102633,0.0108485,0.00944677
0.00922105,0.0118974,0.0159726,0.0150567,0.0176477,0.0294368
0.0103535,0.0102287,0.013402,0.00837987,0.00801897,0.00815747
0.00926797,0.00903742,0.00846295,0.00824916,0.00958911,0.00942096
0.00951596,0.0072856,0.0116978,0.00946499,0.00993164,0.00807136
0.0122826,0.0146351,0.0144752,0.0129144,0.0126705,0.0124701
0.00896463,0.0144892,0.0124425,0.0109679,0.0128266,0.0107878
0.00889829,0.0122486,0.00833937,0.00638895,0.00404231,0.00517106
0.0112538,0.00903603,0.0123289,0.00872933,0.00952855,0.00919782
0.0111005,0.0120576,0.018826,0.0184335,0.0165471,0.0214019
0.0095218,0.0115392,0.0105366,0.0104429,0.00932504,0.0137813
0.00915088,0.0123449,0.0133377,0.0126775,0.0104826,0.0137251
0.0113933,0.0142817,0.0150593,0.0134645,0.0151402,0.0176275
0.0110414,0.0123855,0.0139728,0.0145015,0.0146475,0.0178665
0.00891354,0.0111303,0.0125934,0.0077882,0.0109284,0.00979096
0.00839156,0.017861,0.0237393,0.0257362,0.0271404,0.0263196
0.0111428,0.00809172,0.01061,0.0123186,0.0161689,0.0168056
0.00933182,0.0128879,0.0128896,0.0105801,0.00895735,0.0122676
0.0099956,0.00880562,0.00802646,0.0069283,0.00921093,0.011441
0.0108966,0.00912301,0.00769711,0.0101911,0.00827541,0.00826674
0.0115819,0.0157288,0.0362298,0.064683,0.215315,0.406484
0.00848671,0.0117388,0.0118371,0.00907815,0.010513,0.0111937
0.00869493,0.00969964,0.0133947,0.011028,0.00839096,0.0114498
0.0106395,0.0146221,0.0201066,0.0163704,0.0173712,0.0157822
0.00942706,0.0127206,0.00468397,0.0013234,0.000560642,0.000757128
0.00981984,0.015327,0.0168581,0.0139376,0.0162002,0.0175941
0.0115449,0.0122684,0.0120374,0.00672394,0.00386232,0.00251568
0.0106589,0.0137633,0.0117645,0.00640501,0.00561237,0.00414552
0.00931271,0.0111172,0.0115652,0.0104352,0.0118567,0.0118744
0.011291,0.0121118,0.0150309,0.0109026,0.0112,0.0153713
0.00976887,0.0107332,0.0109446,0.0087346,0.00903634,0.00998676
